学号：,1001,,班级:,1655
星期一,英语,数学,业历,生物,语文,业地,化学,物理,
星期二,生物,数学,业地,英语,语文,物理,业政,班会,
星期三,化学,生物,英语,语文,数学,业历,物理,业政,
星期四,英语,物理,化学,数学,语文,业历,业政,业地,
星期五,语文,业政,英语,数学,生物,化学,业历,业地,

学号：,1002,,班级:,1656
星期一,物理,英语,业历,语文,数学,班会,化学,业地,
星期二,业地,业政,英语,语文,数学,,业历,化学,
星期三,生物,语文,数学,英语,业地,物理,业政,业历,
星期四,化学,英语,生物,数学,语文,业政,业历,物理,
星期五,数学,业政,语文,英语,业地,生物,化学,物理,

学号：,1003,,班级:,1657
星期一,语文,数学,化学,英语,业地,业生,政治,业历,
星期二,英语,语文,业生,业历,数学,业地,化学,政治,
星期三,物理,数学,业历,语文,英语,班会,化学,业生,
星期四,政治,数学,物理,英语,语文,业地,化学,,
星期五,业生,英语,业地,语文,数学,物理,政治,业历,

学号：,1004,,班级:,1658
星期一,数学,业政,业化,英语,语文,业地,物理,历史,
星期二,业化,语文,数学,英语,历史,业政,,物理,
星期三,生物,英语,业地,语文,数学,业化,历史,业政,
星期四,物理,语文,生物,数学,英语,班会,业地,业化,
星期五,数学,语文,历史,业地,英语,生物,物理,业政,

